TIME,STIMULUS,INSULIN_PER_100_ISLETS,GLUCAGON_PER_100_ISLETS,ISLET_NUMBER,DNA_CONTENT,INSULIN_CONTENT,GLUCAGON_CONTENT,I_AUC(aam),I_AUC(Glu3),I_AUC(G16.7),I_AUC(ibmx),I_AUC(kcl),I_SI(aam),I_SI(Glu3),I_SI(G16.7),I_SI(ibmx),I_SI(kcl),G_AUC(aam),G_AUC(Glu3),G_AUC(G16.7),G_AUC(ibmx),G_AUC(kcl),G_SI(aam),G_SI(Glu3),G_SI(G16.7),G_SI(ibmx),G_SI(kcl),,,,
39,Amino acid mixture (4 mM),0.166667,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Amino acid mixture (4 mM),0.178472,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Amino acid mixture (4 mM),0.197917,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Amino acid mixture (4 mM),0.165972,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Amino acid mixture (4 mM),0.172917,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Amino acid mixture (4 mM),0.150694,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Amino acid mixture (4 mM),0.165972,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Amino acid mixture (4 mM),0.145833,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Amino acid mixture (4 mM),0.164583,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Amino acid mixture (4 mM),0.149306,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Amino acid mixture (4 mM),0.130556,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Amino acid mixture (4 mM),0.136111,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Amino acid mixture (4 mM),0.161111,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Amino acid mixture (4 mM),0.167361,50.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Amino acid mixture (4 mM),0.126389,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Amino acid mixture (4 mM),0.157639,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Amino acid mixture (4 mM),0.147222,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Amino acid mixture (4 mM),0.120139,48.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Amino acid mixture (4 mM),0.125,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Amino acid mixture (4 mM),0.114583,56.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Amino acid mixture (4 mM),0.129861,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Amino acid mixture (4 mM),0.111806,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Amino acid mixture (4 mM) + Glucose (3 mM),0.109028,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Amino acid mixture (4 mM) + Glucose (3 mM),0.110417,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Amino acid mixture (4 mM) + Glucose (3 mM),0.114583,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Amino acid mixture (4 mM) + Glucose (3 mM),0.136111,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Amino acid mixture (4 mM) + Glucose (3 mM),0.176389,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Amino acid mixture (4 mM) + Glucose (3 mM),0.170139,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Amino acid mixture (4 mM) + Glucose (3 mM),0.165972,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Amino acid mixture (4 mM) + Glucose (3 mM),0.163889,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Amino acid mixture (4 mM) + Glucose (3 mM),0.183333,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Amino acid mixture (4 mM) + Glucose (3 mM),0.281944,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Amino acid mixture (4 mM) + Glucose (3 mM),0.228472,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Amino acid mixture (4 mM) + Glucose (3 mM),0.222917,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Amino acid mixture (4 mM) + Glucose (3 mM),0.242361,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Amino acid mixture (4 mM) + Glucose (3 mM),0.220833,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Amino acid mixture (4 mM) + Glucose (3 mM),0.195139,53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Amino acid mixture (4 mM) + Glucose (3 mM),0.208333,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Amino acid mixture (4 mM) + Glucose (3 mM),0.220139,58.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Amino acid mixture (4 mM) + Glucose (3 mM),0.248611,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Amino acid mixture (4 mM) + Glucose (3 mM),0.168056,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Amino acid mixture (4 mM) + Glucose (3 mM),0.153472,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.170139,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.160417,45.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Amino acid mixture (4 mM) + Glucose (16.7 mM),0.295139,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.4625,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.9125,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.925,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.291667,41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.0875,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.4375,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.8625,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.3375,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.445833,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.325,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.079167,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.3125,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.095833,38.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.829167,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Amino acid mixture (4 mM) + Glucose (16.7 mM),1.854167,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.1625,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Amino acid mixture (4 mM) + Glucose (16.7 mM),2.0375,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.245833,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.133333,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),1.958333,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.270833,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.379167,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),3.241667,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.495833,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),3.533333,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.733333,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.758333,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.675,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.5875,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.658333,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.770833,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),3.6625,55.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.625,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.5625,68.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),2.891667,63.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),3.095833,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Amino acid mixture (4 mM) + Glucose (16.7 mM) + IBMX (0.1 mM),3.6,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,No stimuli,3.045833,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,No stimuli,2.504167,63.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,No stimuli,2.3375,41.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,No stimuli,2.170833,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,No stimuli,1.525,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,No stimuli,1.375,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,No stimuli,1.079167,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,No stimuli,0.741667,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,No stimuli,0.779167,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,No stimuli,0.558333,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,No stimuli,0.409722,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,No stimuli,0.455556,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,No stimuli,0.361806,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,No stimuli,0.292361,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,No stimuli,0.305556,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,No stimuli,0.280556,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,No stimuli,0.242361,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,No stimuli,0.227778,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,No stimuli,0.173611,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,No stimuli,0.18125,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,KCl (30 mM),0.572222,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,KCl (30 mM),6.191667,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,KCl (30 mM),4.0125,78.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,KCl (30 mM),2.6375,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,KCl (30 mM),2.125,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,KCl (30 mM),1.329167,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,KCl (30 mM),1.341667,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,KCl (30 mM),1.379167,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,KCl (30 mM),1.383333,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,KCl (30 mM),1.388889,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,KCl (30 mM),1.388889,42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,KCl (30 mM),1.081944,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,KCl (30 mM),1.095833,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,KCl (30 mM),1.015972,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,KCl (30 mM),0.916667,49.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,KCl (30 mM),0.840972,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,KCl (30 mM),0.738194,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,KCl (30 mM),0.636806,54.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,KCl (30 mM),0.702083,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
